"Time","Processes"
2023-04-03 18:10:40,1933.8
2023-04-03 18:11:00,1862.8
2023-04-03 18:11:20,2134.4
2023-04-03 18:11:40,3629
2023-04-03 18:12:00,4177
2023-04-03 18:12:20,1368.8
2023-04-03 18:12:40,1638.4
2023-04-03 18:13:00,2089.4
2023-04-03 18:13:20,1212.6
2023-04-03 18:13:40,2696
2023-04-03 18:14:00,4230.6
2023-04-03 18:14:20,4152.4
2023-04-03 18:14:40,1506.8
2023-04-03 18:15:00,2199
2023-04-03 18:15:20,2242.6
2023-04-03 18:15:40,1963
2023-04-03 18:16:00,3564.2
2023-04-03 18:16:20,4183.6
2023-04-03 18:16:40,1397.6
2023-04-03 18:17:00,1716.4
2023-04-03 18:17:20,2644.6
2023-04-03 18:17:40,1901.8
2023-04-03 18:18:00,1985.6
2023-04-03 18:18:20,4004.2
2023-04-03 18:18:40,4161
2023-04-03 18:19:00,1226
2023-04-03 18:19:20,2355.6
2023-04-03 18:19:40,2755
2023-04-03 18:20:00,1346.2
2023-04-03 18:20:20,2105.6
2023-04-03 18:20:40,3959.2
2023-04-03 18:21:00,4159.6
2023-04-03 18:21:20,1360.8
2023-04-03 18:21:40,1853.8
2023-04-03 18:22:00,3159.6
2023-04-03 18:22:20,3088.4
2023-04-03 18:22:40,1286.8
2023-04-03 18:23:00,3029.6
2023-04-03 18:23:20,4239
2023-04-03 18:23:40,4154.2
2023-04-03 18:24:00,1286.4
2023-04-03 18:24:20,2137.8
2023-04-03 18:24:40,2242.4
2023-04-03 18:25:00,1232.4
2023-04-03 18:25:20,3050.2
2023-04-03 18:25:40,4200.6
2023-04-03 18:26:00,4073.8
2023-04-03 18:26:20,1489.2
2023-04-03 18:26:40,2339.8
2023-04-03 18:27:00,2409.2
2023-04-03 18:27:20,2072.8
2023-04-03 18:27:40,3437.2
2023-04-03 18:28:00,4159
2023-04-03 18:28:20,3043
2023-04-03 18:28:40,1721.6
2023-04-03 18:29:00,2765.2
2023-04-03 18:29:20,2913
2023-04-03 18:29:40,1212.4
2023-04-03 18:30:00,2712
2023-04-03 18:30:20,4212.8
2023-04-03 18:30:40,4081.2
2023-04-03 18:31:00,1445.2
2023-04-03 18:31:20,2867.4
2023-04-03 18:31:40,3264.2
2023-04-03 18:32:00,1319.4
2023-04-03 18:32:20,2091.4
2023-04-03 18:32:40,4081.6
2023-04-03 18:33:00,4109.2
2023-04-03 18:33:20,1240.6
2023-04-03 18:33:40,2941
2023-04-03 18:34:00,3852.8
2023-04-03 18:34:20,3766.8
2023-04-03 18:34:40,1227.6
2023-04-03 18:35:00,2987.2
2023-04-03 18:35:20,4196.4
2023-04-03 18:35:40,4091.8
2023-04-03 18:36:00,1216.4
2023-04-03 18:36:20,2831
2023-04-03 18:36:40,4234.6
2023-04-03 18:37:00,4116.4
2023-04-03 18:37:20,1222.8
2023-04-03 18:37:40,2281.8
2023-04-03 18:38:00,4142.6
2023-04-03 18:38:20,4104.6
2023-04-03 18:38:40,2166
2023-04-03 18:39:00,1380
2023-04-03 18:39:20,1950.2
2023-04-03 18:39:40,1522
2023-04-03 18:40:00,2061.2
2023-04-03 18:40:20,3696.2
2023-04-03 18:40:40,4171.8
2023-04-03 18:41:00,1199
2023-04-03 18:41:20,1950.6
2023-04-03 18:41:40,2077
2023-04-03 18:42:00,1268.4
2023-04-03 18:42:20,2991.4
2023-04-03 18:42:40,4245.8
2023-04-03 18:43:00,3422.4
2023-04-03 18:43:20,1483
2023-04-03 18:43:40,2280
2023-04-03 18:44:00,2205.4
2023-04-03 18:44:20,1985
2023-04-03 18:44:40,3491
2023-04-03 18:45:00,4186.4
2023-04-03 18:45:20,1392.4
2023-04-03 18:45:40,1692.2
